iter	Passed	Remaining
0	19	1909
1	28	1376
2	34	1120
3	40	964
4	45	862
5	50	783
6	54	720
7	56	651
8	59	597
9	61	551
10	63	515
11	66	484
12	68	457
13	70	435
14	73	417
15	76	400
16	78	384
17	81	370
18	83	356
19	86	344
20	88	333
21	90	322
22	93	312
23	95	303
24	98	295
25	101	287
26	103	279
27	105	270
28	107	263
29	109	256
30	112	249
31	114	243
32	116	237
33	119	231
34	121	226
35	124	220
36	125	213
37	127	208
38	130	203
39	132	198
40	134	194
41	137	189
42	139	185
43	142	180
44	145	177
45	147	173
46	150	169
47	152	165
48	154	161
49	157	157
50	159	153
51	162	149
52	164	146
53	167	142
54	169	138
55	171	135
56	174	131
57	176	128
58	179	124
59	181	121
60	184	117
61	186	114
62	189	111
63	191	107
64	193	104
65	196	101
66	198	97
67	201	94
68	203	91
69	206	88
70	208	85
71	210	82
72	213	79
73	216	75
74	218	72
75	220	69
76	223	66
77	225	63
78	227	60
79	230	57
80	232	54
81	235	51
82	237	48
83	240	45
84	242	42
85	245	39
86	247	36
87	249	34
88	252	31
89	255	28
90	257	25
91	260	22
92	262	19
93	264	16
94	267	14
95	269	11
96	272	8
97	274	5
98	277	2
99	280	0
