iter	Passed	Remaining
0	353	353259
1	369	184392
2	377	125352
3	381	95028
4	391	77867
5	395	65590
6	407	57872
7	428	53162
8	460	50672
9	471	46720
10	477	42937
11	488	40190
12	491	37300
13	501	35300
14	505	33203
15	509	31337
16	520	30083
17	523	28542
18	534	27617
19	538	26383
20	545	25427
21	554	24653
22	566	24048
23	569	23139
24	572	22337
25	579	21700
26	582	20976
27	585	20341
28	591	19801
29	595	19256
30	598	18702
31	600	18177
32	609	17868
33	612	17399
34	614	16952
35	621	16635
36	626	16310
37	629	15925
38	631	15563
39	639	15340
40	641	15007
41	643	14689
42	646	14385
43	652	14169
44	654	13892
45	657	13628
46	659	13376
47	662	13131
48	667	12954
49	670	12734
50	673	12526
51	675	12321
52	680	12154
53	682	11960
54	685	11773
55	687	11591
56	689	11415
57	692	11246
58	696	11109
59	698	10950
60	701	10798
61	704	10651
62	706	10508
63	710	10389
64	714	10270
65	718	10162
66	721	10042
67	723	9919
68	728	9825
69	730	9707
70	733	9591
71	735	9484
72	738	9375
73	743	9299
74	745	9196
75	748	9097
76	750	8999
77	753	8904
78	757	8827
79	760	8740
80	762	8655
81	765	8575
82	768	8490
83	771	8408
84	774	8340
85	777	8262
86	779	8185
87	782	8108
88	784	8033
89	789	7978
90	791	7910
91	794	7844
92	797	7775
93	799	7707
94	803	7652
95	805	7589
96	808	7525
97	810	7464
98	813	7402
99	815	7342
100	819	7298
101	822	7242
102	825	7185
103	827	7130
104	830	7075
105	832	7021
106	836	6981
107	839	6930
108	841	6880
109	844	6832
110	846	6781
111	851	6749
112	854	6704
113	856	6659
114	859	6615
115	862	6570
116	867	6547
117	877	6561
118	885	6558
119	891	6536
120	898	6528
121	903	6505
122	908	6479
123	914	6459
124	916	6417
125	919	6376
126	921	6335
127	923	6289
128	925	6251
129	929	6223
130	932	6185
131	934	6147
132	937	6111
133	940	6078
134	943	6042
135	946	6015
136	949	5982
137	952	5950
138	955	5916
139	957	5882
140	961	5858
141	964	5826
142	966	5793
143	969	5761
144	971	5729
145	974	5698
146	977	5673
147	980	5642
148	983	5615
149	985	5585
150	988	5555
151	992	5535
152	994	5505
153	997	5478
154	1000	5453
155	1002	5425
156	1005	5399
157	1008	5376
158	1011	5351
159	1014	5324
160	1016	5297
161	1019	5271
162	1023	5254
163	1025	5227
164	1027	5201
165	1030	5176
166	1033	5152
167	1035	5129
168	1040	5114
169	1042	5091
170	1045	5069
171	1048	5047
172	1050	5023
173	1054	5007
174	1057	4984
175	1059	4962
176	1062	4939
177	1064	4917
178	1067	4896
179	1071	4879
180	1073	4857
181	1076	4836
182	1078	4815
183	1080	4793
184	1086	4787
185	1090	4773
186	1094	4758
187	1098	4742
188	1102	4729
189	1104	4709
190	1107	4689
191	1109	4669
192	1112	4650
193	1115	4633
194	1117	4614
195	1120	4595
196	1122	4575
197	1125	4557
198	1128	4540
199	1132	4529
200	1134	4510
201	1137	4492
202	1139	4475
203	1142	4456
204	1144	4438
205	1148	4428
206	1151	4411
207	1154	4396
208	1157	4381
209	1160	4364
210	1164	4353
211	1166	4337
212	1170	4324
213	1173	4308
214	1175	4292
215	1180	4283
216	1182	4268
